p20,times,0.019,paint,0.021
p20,think,0.019,miles,0.019
p20,figure,0.019,two,0.019
p20,multiply,0.019,much,0.017
p20,get,0.017,know,0.015
p20,twenty,0.017,inches,0.015
p20,seven,0.017,hour,0.015
p20,guess,0.014,six,0.015
p20,help,0.012,answer,0.015
p20,step,0.012,multiply,0.015
p20,bags,0.012,every,0.011
p20,ratio,0.010,seconds,0.011
p20,hundred,0.010,many,0.011
p21,think,0.028,'s,0.048
p21,two,0.028,going,0.039
p21,three,0.022,one,0.027
p21,answer,0.022,get,0.023
p21,go,0.021,six,0.023
p21,step,0.021,five,0.021
p21,put,0.021,'re,0.021
p21,figure,0.021,go,0.018
p21,miles,0.019,miles,0.017
p21,sweet,0.019,three,0.017
p21,one,0.019,know,0.015
p21,'m,0.017,answer,0.014
p21,like,0.016,like,0.014
p21,five,0.014,ten,0.014
p21,really,0.014,think,0.014
p21,great,0.014,technically,0.014
p21,problem,0.014,find,0.012
p21,six,0.014,twenty,0.012
p21,get,0.012,friends,0.012
p21,hours,0.012,step,0.011
p21,``,0.012,many,0.011
p21,'',0.012,point,0.011
p21,need,0.012,number,0.011
p21,okay,0.012,destination,0.011
p21,'s,0.010,way,0.011
p22,two,0.036,equals,0.127
p22,three,0.032,times,0.108
p22,times,0.026,hundred,0.096
p22,think,0.026,one,0.084
p22,answer,0.026,five,0.066
p22,'m,0.022,ten,0.048
p22,put,0.020,yes,0.048
p22,one,0.019,divided,0.042
p22,``,0.019,six,0.042
p22,'',0.019,two,0.042
p22,five,0.017,twenty,0.036
p22,get,0.017,three,0.036
p22,'s,0.015,seven,0.024
p22,need,0.015,fifty,0.024
p22,six,0.015,seventy,0.024
p22,multiply,0.015,point,0.018
p22,miles,0.014,eight,0.018
p22,paint,0.014,four,0.012
p22,figure,0.014,2,0.012
p22,bags,0.012,by2,0.012
p22,okay,0.012,twelve,0.006
p22,right,0.010,says,0.006
p22,step,0.010,charles,0.006
p22,sweet,0.010,paper,0.006
p22,hundred,0.010,something,0.006
p23,think,0.028,one,0.052
p23,two,0.027,five,0.052
p23,one,0.026,ten,0.036
p23,three,0.023,'s,0.034
p23,'m,0.023,hundred,0.034
p23,figure,0.022,multiply,0.034
p23,hundred,0.019,equals,0.027
p23,five,0.018,three,0.027
p23,okay,0.018,point,0.023
p23,help,0.017,seven,0.023
p23,get,0.017,two,0.023
p23,step,0.017,times,0.020
p23,put,0.017,must,0.020
p23,``,0.017,get,0.018
p23,'',0.017,eight,0.016
p23,answer,0.017,bag,0.014
p23,multiply,0.017,miles,0.014
p23,'s,0.015,would,0.014
p23,waterproof,0.014,means,0.014
p23,great,0.014,okay,0.014
p23,times,0.014,eminem,0.012
p23,need,0.014,hour,0.012
p23,sweet,0.013,'re,0.012
p23,bags,0.013,ratio,0.011
p23,go,0.012,twenty,0.011
p24,two,0.051,one,0.070
p24,three,0.036,three,0.070
p24,one,0.031,ten,0.056
p24,okay,0.026,times,0.054
p24,multiply,0.026,multiply,0.040
p24,five,0.023,four,0.037
p24,put,0.023,equal,0.037
p24,times,0.023,two,0.037
p24,answer,0.023,five,0.035
p24,step,0.021,point,0.035
p24,think,0.021,hundred,0.035
p24,problem,0.020,six,0.028
p24,need,0.020,'s,0.028
p24,ten,0.018,yes,0.026
p24,point,0.018,get,0.021
p24,next,0.018,twenty,0.021
p24,get,0.016,seven,0.021
p24,'s,0.015,equals,0.019
p24,seven,0.015,step,0.018
p24,figure,0.015,eminem,0.016
p24,know,0.013,hour,0.014
p24,paint,0.013,divided,0.014
p24,miles,0.013,miles,0.011
p24,six,0.013,twelve,0.011
p24,help,0.011,thing,0.011
p25,two,0.064,times,0.091
p25,answer,0.036,one,0.085
p25,put,0.032,give,0.066
p25,three,0.030,five,0.047
p25,think,0.025,ten,0.044
p25,point,0.025,point,0.041
p25,times,0.023,seven,0.039
p25,twenty,0.023,multiply,0.039
p25,one,0.021,three,0.036
p25,step,0.021,hundred,0.036
p25,okay,0.021,two,0.030
p25,figure,0.020,figure,0.028
p25,bags,0.020,get,0.028
p25,five,0.018,six,0.025
p25,'s,0.016,yes,0.019
p25,seven,0.016,answer,0.019
p25,need,0.016,equal,0.017
p25,get,0.014,thing,0.017
p25,hundred,0.014,twelve,0.014
p25,help,0.013,first,0.014
p25,``,0.013,four,0.011
p25,'',0.013,number,0.008
p25,multiply,0.013,fraction,0.008
p25,miles,0.011,gives,0.008
p25,paint,0.011,'s,0.008
p26,two,0.025,six,0.065
p26,three,0.022,one,0.054
p26,answer,0.022,times,0.051
p26,five,0.021,three,0.038
p26,think,0.020,five,0.032
p26,one,0.020,ten,0.030
p26,figure,0.020,well,0.030
p26,'s,0.018,multiply,0.027
p26,great,0.017,four,0.024
p26,multiply,0.017,two,0.024
p26,put,0.016,divided,0.024
p26,point,0.016,point,0.022
p26,get,0.015,ratio,0.019
p26,times,0.015,hundred,0.019
p26,sweet,0.015,answer,0.019
p26,step,0.014,yes,0.016
p26,bags,0.014,going,0.016
p26,okay,0.014,twelve,0.016
p26,'m,0.014,since,0.016
p26,go,0.012,'re,0.016
p26,ratio,0.012,skip,0.013
p26,know,0.011,miles,0.013
p26,miles,0.011,square,0.013
p26,twenty,0.011,plus,0.013
p26,seven,0.011,good,0.011
p27,three,0.044,would,0.102
p27,one,0.028,three,0.069
p27,two,0.028,six,0.065
p27,need,0.024,one,0.051
p27,times,0.022,yes,0.033
p27,think,0.022,ratio,0.033
p27,paint,0.022,ten,0.033
p27,six,0.022,two,0.029
p27,'s,0.020,paint,0.029
p27,figure,0.020,equal,0.029
p27,okay,0.020,use,0.025
p27,get,0.018,multiply,0.025
p27,put,0.018,find,0.022
p27,answer,0.018,hours,0.022
p27,miles,0.016,volume,0.022
p27,much,0.014,five,0.022
p27,``,0.014,point,0.018
p27,'',0.014,need,0.018
p27,help,0.012,times,0.018
p27,step,0.012,twelve,0.015
p27,great,0.012,area,0.015
p27,sweet,0.012,'s,0.015
p27,'m,0.012,divide,0.011
p27,thinking,0.010,surface,0.011
p27,five,0.010,much,0.011
p28,know,0.030,three,0.085
p28,five,0.027,ten,0.077
p28,answer,0.024,divided,0.073
p28,two,0.023,one,0.056
p28,think,0.021,five,0.056
p28,three,0.021,times,0.051
p28,put,0.020,point,0.043
p28,times,0.019,would,0.043
p28,n't,0.018,six,0.043
p28,'m,0.018,hundred,0.043
p28,``,0.017,twelve,0.034
p28,'',0.017,two,0.030
p28,good,0.015,seven,0.026
p28,great,0.015,yes,0.021
p28,question,0.014,multiply,0.021
p28,figure,0.014,equal,0.021
p28,get,0.013,bags,0.017
p28,point,0.013,answer,0.013
p28,would,0.013,'s,0.013
p28,okay,0.013,says,0.009
p28,telling,0.012,eighteen,0.009
p28,'s,0.012,twenty,0.009
p28,one,0.012,much,0.009
p28,hmmmm,0.012,eighty,0.009
p28,mind,0.012,eminem,0.009
p29,know,0.029,'s,0.104
p29,think,0.020,times,0.098
p29,answer,0.020,answer,0.069
p29,put,0.019,three,0.052
p29,two,0.019,five,0.046
p29,n't,0.019,multiply,0.040
p29,get,0.019,one,0.040
p29,go,0.017,yes,0.035
p29,five,0.017,get,0.035
p29,'m,0.017,twenty,0.029
p29,good,0.015,two,0.029
p29,'s,0.015,seven,0.023
p29,figure,0.015,ten,0.023
p29,problem,0.014,point,0.023
p29,telling,0.013,find,0.023
p29,step,0.013,hundred,0.023
p29,hmmmm,0.013,go,0.017
p29,one,0.013,six,0.017
p29,would,0.013,add,0.017
p29,question,0.013,correct,0.017
p29,three,0.013,'re,0.017
p29,mind,0.013,twelve,0.012
p29,remember,0.013,want,0.012
p29,help,0.011,fifty,0.012
p29,miles,0.011,next,0.012
p3,think,0.033,times,0.098
p3,two,0.033,hundred,0.068
p3,times,0.025,one,0.068
p3,answer,0.025,ten,0.063
p3,three,0.023,three,0.063
p3,'m,0.023,yes,0.039
p3,hundred,0.022,six,0.039
p3,five,0.020,five,0.034
p3,one,0.020,equals,0.029
p3,know,0.019,seven,0.024
